temporada,nombre_inc,rol,nompredrea,USO_TIERRA,USO,SUBUSO,ESTRUCTURA,COBERTURA,ALTURA,TIPO_FORES,SUBTIPOFOR,NOM_REG,NOM_PROV,NOM_COM,SOLICITUD,ESTAD_SOL,ANO,NOM_PREDIO,ROL_AVAL,LONG,LAT
2016-2017,LO VALDIVIA,SR,,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.3433,-34.9900
2016-2017,EL ALMENDRO,561-12,AVENIDA EL ALMENDRO SN,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Linares,,,0,,,-71.5843,-35.8619
2016-2017,CRUCE PANIMAVIDA,540-3,SN MANUEL RTO LT 2 DEL LT 2 DE LA PC 4,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Linares,,,0,,,-71.5739,-35.8314
2016-2017,EL HUAPI,562-47,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Linares,,,0,,,-71.5893,-35.8710
2016-2017,PUTAG?üN,VP-S,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Linares,,,0,,,-71.6659,-35.7831
2016-2017,SAN MANUEL HIJUELA 5,1254-31,VILLA BAVIERA PC 6,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Parral,,,0,,,-71.5817,-36.3903
2016-2017,QUI?æE,508-9,FUNDO EL QUINE,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Linares,Longavi,,,0,,,-71.5561,-35.9109
2016-2017,FUNDO EL QUI?æE,508-9,FUNDO EL QUINE,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Linares,Longavi,,,0,,,-71.5618,-35.9137
2016-2017,PAIHUEN,206-72,PARCELA 26 EX FUNDO PAIHUEN,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Linares,Longavi,,,0,,,-71.6753,-36.0623
2016-2017,EL ARBOLILLO,VP-L,,Matorral Semidenso,Praderas y Matorrales,Matorral,No Aplica,Semidenso,,,,Region del Maule,Linares,San Javier,,,0,,,-72.0506,-35.7536
2016-2017,VARA GRUESA,549-44,SANTA CLARA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Linares,,,0,,,-71.5152,-35.8444
2016-2017,EL PARRON,559-4,LOS GUINDOS,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Linares,,,0,,,-71.5351,-35.8903
2016-2017,PUENTE PUTAGAN,L-11,,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Linares,Colbun,,,0,,,-71.4727,-35.8233
2016-2017,EL MEDANO,SR,,Matorral-Pradera Abierto,Praderas y Matorrales,Matorral-Pradera,No Aplica,Abierto,,,,Region del Maule,Talca,San Clemente,,,0,,,-70.6994,-35.8353
2016-2017,LOS ?üLAMOS,SR,,Matorral Abierto,Praderas y Matorrales,Matorral,No Aplica,Abierto,,,,Region del Maule,Talca,San Clemente,,,0,,,-70.8221,-35.8167
2016-2017,LAS TABLAS HIJ 1 2 3  PROPIO (CORR 90),SR,,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Linares,Parral,,,0,,,-71.5406,-36.3200
2016-2017,CABA?æAS DE REMULCAO,SR,,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Linares,Parral,,,0,,,-71.5064,-36.3000
2016-2017,LAGUNILLAS,VP-H,,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Linares,Longavi,,,0,,,-71.4269,-36.1872
2016-2017,LAGUNILLAS,VP-H,,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Linares,Longavi,,,0,,,-71.4319,-36.1894
2016-2017,EL CHACAY 3 AMENAZA (CORR 83),VP-H,,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Linares,Longavi,,,0,,,-71.4286,-36.1872
2016-2017,CHACAY 3  PROPIO (CORR 84),VP-H,,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Linares,Longavi,,,0,,,-71.4217,-36.1861
2016-2017,CHACAY 3  AMENAZA (CORR 38),VP-H,,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,12 - 20,Roble-Raul?â?¡-Coihue,Roble,Region del Maule,Linares,Longavi,,,0,,,-71.4031,-36.1983
2016-2017,CHACAY 3 AMENAZA (CORR 39),VP-H,,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,12 - 20,Roble-Raul?â?¡-Coihue,Roble,Region del Maule,Linares,Longavi,,,0,,,-71.4025,-36.1975
2016-2017,CHACAY 3 PROPIO (CORR 81),VP-H,,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,12 - 20,Roble-Raul?â?¡-Coihue,Roble,Region del Maule,Linares,Longavi,,,0,,,-71.4206,-36.1736
2016-2017,EL BOLDO,b,,Bosque Nativo Renoval Denso,Bosques,Bosque Nativo,Renoval,Denso,4 - 8,Roble-Hualo,Roble-Hualo,Region del Maule,Linares,Colbun,,,0,,,-71.2506,-35.7347
2016-2017,CHEQU?ëN,RIO MAULE,,Matorral Arborescente Abierto,Praderas y Matorrales,Matorral Arborescente,No Aplica,Abierto,,,,Region del Maule,Talca,San Clemente,,,0,,,-71.5644,-35.5865
2016-2017,TRAFALGAR,176-93,HIJUELA A FUNDO TRAFALGAR,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Talca,San Clemente,,,0,,,-71.5397,-35.5711
2016-2017,CRUCE ESPERANZA,158-7,MIRAFLORES,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Yerbas Buenas,,,0,,,-71.6049,-35.6966
2016-2017,SANTA MAR?ìA DE ARQU?ëN,165-35,STA MARIA DE ARQUEN,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Yerbas Buenas,,,0,,,-71.5334,-35.6499
2016-2017,QUILIPIN,159-68,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Yerbas Buenas,,,0,,,-71.5916,-35.7228
2016-2017,PALQUIBUDI,RIO MATAQUITO,,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Curico,Sagrada Familia,,,0,,,-71.5813,-35.0496
2016-2017,LOS COPIHUES PROPIO (CORR 41),VP-HHH,,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Chanco,,,0,,,-72.3967,-35.6897
2016-2017,RINCON DE LOBOS,203-1,EL OLIVO,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Villa Alegre,,,0,,,-71.7631,-35.6722
2016-2017,PARCELA MUNICIPAL,3706-114,LA HIGUERA PC 16 LT 2,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6391,-35.3942
2016-2017,CIRCUNVALACION NORTE,3706-47,LA HIGUERA PC 16 LT 1,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6413,-35.3975
2016-2017,CANAL DE LA LUZ,3706-47,LA HIGUERA PC 16 LT 1,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6418,-35.3986
2016-2017,CALLEJ?ôN EL CRISTO,233-45,PARC N 11 BELLA UNION,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Villa Alegre,,,0,,,-71.6129,-35.6739
2016-2017,PE?æUELAS,229-17,FUNDO APENITAS VILLA ALEGRE,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,Villa Alegre,,,0,,,-71.5804,-35.6631
2016-2017,SAN ANTONIO,3723-237,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6067,-35.4725
2016-2017,PADRE HURTADO,TALCA,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6577,-35.3999
2016-2017,21 DE MAYO,3706-102,PROSPERIDAD PC 6 LT A,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6456,-35.3916
2016-2017,DO?æA JACINTA,3706-62,PARCELA 1 DE LA PROSPERIDAD TALCA,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6545,-35.3951
2016-2017,DO?æA JACINTA,3706-62,PARCELA 1 DE LA PROSPERIDAD TALCA,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6568,-35.3929
2016-2017,COUNTRY CLUB,3709-2,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6209,-35.4218
2016-2017,SAN ANTONIO,3724-18,SANTA MARGARITA PALMIRA,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.5968,-35.5006
2016-2017,LA OBRA,3720-383,FDO LA OBRA HIJ 2 PTE 0,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.5841,-35.4560
2016-2017,3 PUERTAS,3720-81,SAN MIGUEL PC 7,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6168,-35.4577
2016-2017,LAS MERCEDES,3718-160,LOS CANALES PARC 5 MERCEDES,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.5597,-35.4626
2016-2017,PALMIRA,SR,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.5756,-35.4990
2016-2017,DO?æA JACINTA,3706-68,VINA CAROLINA LT C,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6523,-35.3943
2016-2017,SAN RAFAEL UNO,8086-157,HIJUELA PONIENTE FUNDO SAN RAFAEL,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5344,-35.2828
2016-2017,LOS AVELLANOS,K-40,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5385,-35.2764
2016-2017,CIRCUNVALACI?ôN NORTE,TALCA,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6465,-35.3979
2016-2017,SOR TERESA,3706-68,VINA CAROLINA LT C,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6518,-35.3980
2016-2017,AVENIDA CANAL DE LA LUZ,TALCA,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.6563,-35.3991
2016-2017,LA PALMA,8086-151,SAN RICARDO PC 5 ST 2,Rios,Cuerpos de Agua,Rios,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5294,-35.2689
2016-2017,LA PALMA II,8086-151,SAN RICARDO PC 5 ST 2,Rios,Cuerpos de Agua,Rios,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5294,-35.2687
2016-2017,FUNDO SANTA IRMA,8086-49,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5367,-35.3197
2016-2017,COLONIA PANGUILEMITO,8083-171,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5450,-35.3364
2016-2017,TRAPICHE,RIO LONCOMILLA,,Matorral Abierto,Praderas y Matorrales,Matorral,No Aplica,Abierto,,,,Region del Maule,Linares,Villa Alegre,,,0,,,-71.7574,-35.6577
2016-2017,PURAPEL CONV. 2017,261-2,PURAPEL,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Linares,San Javier,,,0,,,-72.0111,-35.7169
2016-2017,MELOZAL,278-44,SAN JOSE,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Linares,San Javier,,,0,,,-71.7913,-35.7121
2016-2017,SAN AGUSTIN,160-28,SN AGUSTIN DE AURORA,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Talca,,,0,,,-71.5113,-35.4616
2016-2017,EL VOLCAN,178-42,SAN VICTOR PC B,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,San Clemente,,,0,,,-71.4723,-35.5713
2016-2017,EL ALAMO,153-333,ALAMO SUR PC 2,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,San Clemente,,,0,,,-71.4461,-35.5811
2016-2017,HUENCUECHO NORTE,94-100,LOS QUILLAYES PC 10,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,Pelarco,,,0,,,-71.3286,-35.3631
2016-2017,LOS GOMEROS,SR,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,Pelarco,,,0,,,-71.4854,-35.3946
2016-2017,PANGUE ABAJO,8085-414,PANGUE PC 85 LT 1,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.4742,-35.3376
2016-2017,SAN RAFAEL,8085-266,FUNDO SAN RAFAEL DEL BAJO PELARCO TALCA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5081,-35.3053
2016-2017,LAS PAREDES,8086-92,PROY CAMARICO PC 6,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.4847,-35.2450
2016-2017,NORTE CEMENTERIO SAN RAFAEL,8086-14,FUNDO AGUAS BUENAS - SAN RAFAEL (AVENIDA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5077,-35.2949
2016-2017,LOS NARANJOS,8086-14,FUNDO AGUAS BUENAS - SAN RAFAEL (AVENIDA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.4964,-35.2944
2016-2017,EL MILAGRO,8085-11,LAS CHILCAS,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.4449,-35.2999
2016-2017,SAN MANUEL // LAS PAREDES,8085-34,FUNDO SAN MANUEL,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5125,-35.2504
2016-2017,LOS MAQUIS,24-184,EL RANCHO,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.4435,-35.2173
2016-2017,LOS BOLSONES-CBB,b,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Linares,Colbun,,,0,,,-71.2489,-35.7278
2016-2017,EL BOLDO// SAN JOSE CONVENIO,491-136,SAN PEDRO LT E,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.1849,-35.9258
2016-2017,FUNDO EL OLVIDO,VP-F,,Plantacion con Exoticas Asilvestradas,Bosques,Plantacion,con Exoticas Asilvestradas,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.4157,-35.9248
2016-2017,LA ALDEA,VP-F,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.4169,-35.9230
2016-2017,TABOLGUEN,VP-F,,Bosque Nativo-Plantacion Semidenso,Bosques,Bosque Mixto,Nativo-Plantacion,Semidenso,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.4274,-35.9197
2016-2017,RIO CAUQUENES,404-8,SANTA ELVIRA HIJUELA 2 LADO SUR,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3227,-35.9736
2016-2017,LOS BARROS,531-76,BUENA VISTA,Matorral Arborescente Semidenso,Praderas y Matorrales,Matorral Arborescente,No Aplica,Semidenso,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.4840,-36.1041
2016-2017,LAS M?üQUINAS,VP-AAA,,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.2817,-35.8475
2016-2017,SAN ESTEBAN,435-89,RESTO LT. B SAN SEBASTIAN - T. TUTUVEN,Matorral Abierto,Praderas y Matorrales,Matorral,No Aplica,Abierto,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3869,-35.8793
2016-2017,EL TRANQUE,435-135,SAN ESTEBAN LT 15,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3949,-35.8923
2016-2017,SAN PEDRO,435-133,SAN ESTEBAN LT 13,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3972,-35.8911
2016-2017,VILLA DON RAFAEL,217-70,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3447,-35.9564
2016-2017,CHACRA DE TRES PESOS,410-15,SAN JOSE,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.2298,-35.8957
2016-2017,SAN MIGUEL,406-15,STA MARIA,Matorral Abierto,Praderas y Matorrales,Matorral,No Aplica,Abierto,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3528,-35.9338
2016-2017,CANCHA ALEGRE// SAN EDUARDO,529-225,SAN JOSE LT 2,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3747,-36.0728
2016-2017,VILLA LAS ESTRELLAS,404-1,VILLA AVELINA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3428,-35.9603
2016-2017,POBLACI?ôN CARLOS CONDELL,CAUQUENES,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3244,-35.9719
2016-2017,SAN ANTONIO,414-40,SAN ANTONIO CAMINO PARRAL KM 15,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Esclerofilo,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.1669,-35.9728
2016-2017,LOS PRESIDENTES,404-5,ESPERANZA,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3374,-35.9703
2016-2017,CORONEL DE MAULE,530-58,SANTA LUCIA,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.4110,-36.0401
2016-2017,SANTA CRUZ,529-54,ESPINAL Y LA PALMA,Bosque Nativo Renoval Abierto,Bosques,Bosque Nativo,Renoval,Abierto,2 - 4,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3619,-36.1156
2016-2017,HUEDQUE // SAN JUAN LA RAYA,531-14,SANTA ANA LA RAYA,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.4577,-36.1281
2016-2017,LIOCURA,ESCUELA SILVESTRE PAIVA,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.2965,-36.0774
2016-2017,SAN ESTEBAN,435-34,STA CECILIA,Ciudades. Pueblos. Zonas Industriales,Areas Urbanas e Industriales,Ciudades. Pueblos. Zonas Industriales,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3854,-35.8856
2016-2017,SANTO TORIBIO//SAN VICENTE,486-60,BUENA VISTA HIJ 2 B,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.0152,-35.8256
2016-2017,TUTUVEN,VP-RRR,,Lagos. Lagunas. Embalses. Tranques,Cuerpos de Agua,Lagos. Lagunas. Embalses. Tranques,,,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.3930,-35.8749
2016-2017,SANTA BERTA,238-1,FUNDO SANTA BERTA,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Chanco,,,0,,,-72.5467,-35.7484
2016-2017,LAGUNILLAS,267-218,LAGUNILLAS LT 1,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Cauquenes,Chanco,,,0,,,-72.4431,-35.7709
2016-2017,LOS MEDANOS,VP-QQQ,,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Chanco,,,0,,,-72.5556,-35.7729
2016-2017,PUENTE BELCO,488-15,,Matorral Abierto,Praderas y Matorrales,Matorral,No Aplica,Abierto,,,,Region del Maule,Cauquenes,Cauquenes,,,0,,,-72.0736,-35.8609
2016-2017,LAS PATAGUAS,267-20,LOS RAUDALES,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Linares,San Javier,,,0,,,-72.0471,-35.7615
2016-2017,POTRERILLO VADO LA PATAGUA,267-19,PURAPEL,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Linares,San Javier,,,0,,,-72.0412,-35.7631
2016-2017,EL MOLINO,321-29,MANZANO,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Pelluhue,,,0,,,-72.5637,-35.8127
2016-2017,LA CONEJA,340-32,PELLUHUE,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Pelluhue,,,0,,,-72.5513,-35.8069
2016-2017,LAS TRANCAS,339-24,EL OLIVO,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Pelluhue,,,0,,,-72.5244,-35.8097
2016-2017,CERROS PELADOS,VP-II,,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Cauquenes,Pelluhue,,,0,,,-72.6065,-35.8657
2016-2017,QUILICURA,VP-X,,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Roble-Hualo,Roble-Hualo,Region del Maule,Cauquenes,Pelluhue,,,0,,,-72.6981,-35.9208
2016-2017,LAS CONEJAS,321-174,LA QUINTA LT 1,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Cauquenes,Pelluhue,,,0,,,-72.5628,-35.8186
2016-2017,MONTE GRANDE,175-78,MONTE GRANDE,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Talca,Curepto,,,0,,,-72.0678,-35.0409
2016-2017,HIGUERILLA,148-93,LA ESPERANZA DE AQUELARRE,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Curico,Vichuquen,,,0,,,-72.0506,-34.8697
2016-2017,LAGUNA TORCA,161-70,LT A- 3 LOS BOLDOS,Praderas Perennes,Praderas y Matorrales,Praderas,Praderas Perennes,No Aplica,,,,Region del Maule,Curico,Vichuquen,,,0,,,-72.0464,-34.7645
2016-2017,PUNTA DEL BARCO,166-57,EL ALAMO Y LOS APESTADOS,Plantacion Joven o Recien Cosechada,Bosques,Plantacion,Joven o Recien Cosechada,No Aplica,,,,Region del Maule,Curico,Vichuquen,,,0,,,-72.0194,-34.8146
2016-2017,ALTO LLICO,VP-E,,Praderas Perennes,Praderas y Matorrales,Praderas,Praderas Perennes,No Aplica,,,,Region del Maule,Curico,Vichuquen,,,0,,,-72.1026,-34.8096
2016-2017,TOTORILLA//4 POTREROS,166-1,PARCELA N 1 PUNTA TOTORILLA,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Curico,Vichuquen,,,0,,,-72.0412,-34.8301
2016-2017,AQUELARRE,144-2,EL CHINGUE CAMINO CONCAVEN,Ciudades. Pueblos. Zonas Industriales,Areas Urbanas e Industriales,Ciudades. Pueblos. Zonas Industriales,,,,,,Region del Maule,Curico,Vichuquen,,,0,,,-72.0356,-34.8450
