temporada,nombre_inc,rol,nompredrea,USO_TIERRA,USO,SUBUSO,ESTRUCTURA,COBERTURA,ALTURA,TIPO_FORES,SUBTIPOFOR,NOM_REG,NOM_PROV,NOM_COM,SOLICITUD,ESTAD_SOL,ANO,NOM_PREDIO,ROL_AVAL,LONG,LAT
2016-2017,LA LAGUNA,68-120,LA LAGUNA PC 57 LT A,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Curico,Teno,,,0,,,-70.9697,-34.9656
2016-2017,SANTA CATALINA,31-33,PC 12 PP MANQUILVO,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Romeral,,,0,,,-71.0988,-34.9311
2016-2017,CLUB DE POLO,35-106,STA. ELENA HJ. 2 PTE.,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Romeral,,,0,,,-71.1802,-34.9502
2016-2017,LAS VI?æAS,57-21,GUAICO REQUIMILIN HIJUELA C,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Romeral,,,0,,,-71.0574,-34.9458
2016-2017,GUAICO CENTRO,58-14,GUAICO SUR,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Romeral,,,0,,,-71.0500,-34.9828
2016-2017,PUMAIT?ëN,37-60,PC 33 LT B PP MANQUILVO,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Romeral,,,0,,,-71.1234,-34.9673
2016-2017,RESERVA AL BOLDAL,58-32,LA BALLICA,Bosque Nativo Renoval Semidenso,Bosques,Bosque Nativo,Renoval,Semidenso,< 2,Esclerofilo,Espino,Region del Maule,Curico,Romeral,,,0,,,-71.0339,-34.9992
2016-2017,RESERVA AL BOLDAL,RESERVA,,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Romeral,,,0,,,-71.0356,-35.0169
2016-2017,LOS MAQUIS,BC,,Rotacion Cultivo-Pradera,Terrenos Agricolas,Rotacion Cultivo-Pradera,,,,,,Region del Maule,Curico,Romeral,,,0,,,-70.8531,-34.9949
2016-2017,LOS QUE?æES,SR,,Matorral Arborescente Semidenso,Praderas y Matorrales,Matorral Arborescente,No Aplica,Semidenso,,,,Region del Maule,Curico,Romeral,,,0,,,-70.8186,-35.0036
2016-2017,LOMA DE LOS BUEYES,SR,,Bosque Nativo Renoval Denso,Bosques,Bosque Nativo,Renoval,Denso,4 - 8,Roble-Raul?â?¡-Coihue,Roble,Region del Maule,Curico,Romeral,,,0,,,-70.9067,-35.0681
2016-2017,FUNDO LA PANCORA,32-42,RESTO LA PANCORA,Matorral Arborescente Semidenso,Praderas y Matorrales,Matorral Arborescente,No Aplica,Semidenso,,,,Region del Maule,Curico,Rauco,,,0,,,-71.4010,-34.9713
2016-2017,PORVENIR,615-9,VILLA EL CARMEN,Terreno de Uso Agricola,Terrenos Agricolas,Terreno de Uso Agricola,,,,,,Region del Maule,Curico,Molina,,,0,,,-71.2759,-35.1552
2016-2017,LA PALMILLA NORTE,23-25,FDO LA ESTANCIA CAM PALMILLA,Bosque Nativo Renoval Abierto,Bosques,Bosque Nativo,Renoval,Abierto,2 - 4,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Curico,Rauco,,,0,,,-71.3535,-34.8557
2016-2017,LA PALMILLA SUR,23-25,FDO LA ESTANCIA CAM PALMILLA,Bosque Nativo Renoval Abierto,Bosques,Bosque Nativo,Renoval,Abierto,2 - 4,Esclerofilo,Peumo-Quillay-Litre,Region del Maule,Curico,Rauco,,,0,,,-71.3558,-34.8600
2016-2017,LAS PAREDES,8024-174,PARCELA 49 SN FRANCISCO CAMARICO,Bosque Nativo con Exoticas Asilvestradas Semidenso,Bosques,Bosque Mixto,Nativo con Exoticas Asilvestradas,Semidenso,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.4552,-35.2346
2016-2017,LAS PAREDES,8086-88,CAMARICO PARCELA 2,Matorral Arborescente Abierto,Praderas y Matorrales,Matorral Arborescente,No Aplica,Abierto,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5060,-35.2464
2016-2017,LAS PAREDES,8086-89,CAMARICO PARCELA 3,Plantacion Adulta,Bosques,Plantacion,Adulta,No Aplica,,,,Region del Maule,Talca,San Rafael,,,0,,,-71.5047,-35.2420
